codigo_catmat,descricao_produto,unidade_apresentacao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
216980,"CONJUNTO OXIGÊNIO MEDICINAL, ASPECTO FÍSICO:INCOLOR, ODOR:INODORO, GRAU PUREZA:99,60 A 100 PER, TIPO ACONDICIONAMENTO:CILINDRO PORTÁTIL, TOXIDADE:ATÓXICO PEQUENAS QUANTIDADES, APLICAÇÃO:OXIGENOTERAPIA",,2,138733080.0,7400.0,1,1,18747.713513513514
267712,"OMEPRAZOL, CONCENTRAÇÃO:20 MG",CÁPSULA,781,138232696.169,1392818821.0,390,239,0.09924671758079294
442689,"AMPICILINA, COMPOSIÇÃO:ASSOCIADA AO SULBACTAM, CONCENTRAÇÃO:2 G + 1 G, FORMA FARMACEUTICA:PÓ P/ SOLUÇÃO INJETÁVEL",FRASCO-AMPOLA,43,137107147.0,13597933.0,24,26,10.082940326298122
267203,"DIPIRONA SÓDICA, DOSAGEM:500 MG",COMPRIMIDO,1030,137033513.6506,1212937400.0,459,276,0.11297657541980319
268856,"LOSARTANA POTÁSSICA, DOSAGEM:50 MG",COMPRIMIDO,956,135912425.2931,2214267060.0,442,295,0.06138032207059071
267512,"AMITRIPTILINA CLORIDRATO, DOSAGEM:25 MG",COMPRIMIDO,1029,135618374.3435,3217330905.0,467,246,0.04215244820877385
268098,"TACROLIMO, DOSAGEM:1 MG",CÁPSULA,42,134790404.556,43342240.0,19,22,3.1099085916187073
432915,"LEUPRORRELINA ACETATO, CONCENTRAÇAO:45 MG, FORMA FARMACEUTICA:PÓ LIÓFILO P/INJETÁVEL, CARACTERÍSTICA ADICIONAL:C/ SISTEMA DE APLICAÇÃO",SERINGA,15,134410124.06,668207.0,9,8,201.15042802604583
292240,"MESALAZINA, CONCENTRAÇÃO:1 G, FORMA FARMACÊUTICA:USO RETAL",SUPOSITÓRIO,23,134086876.22,9834035.0,13,15,13.634980577148648
268083,"AZATIOPRINA, CONCENTRAÇÃO:50 MG",COMPRIMIDO,126,131319496.756,328477148.0,58,51,0.39978274761445504
273836,"INSULINA, ORIGEM:GLARGINA, DOSAGEM:100UI/ML, APLICAÇÃO:INJETÁVEL","TUBETE 3,00 ML",132,128570642.182,5995689.0,69,49,21.44384776828818
466650,"DUPILUMABE, CONCENTRAÇÃO:175 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, ADICIONAL:SERINGA PREENCHIDA","SERINGA 1,14 ML",15,126664788.0,26339.0,11,9,4809.020388017769
448859,"MESALAZINA, CONCENTRAÇÃO:500 MG, FORMA FARMACÊUTICA:LIBERAÇÃO PROLONGADA",COMPRIMIDO,22,126662566.33,79108952.0,13,18,1.6011154632664075
430404,"IBRUTINIBE, CONCENTRAÇÃO:140 MG",COMPRIMIDO,7,126486095.8,342130.0,6,3,369.7018554350685
268481,"MIDAZOLAM, DOSAGEM:5 MG/ML, APLICAÇÃO:INJETÁVEL","AMPOLA 10,00 ML",352,126258875.9391,15742499.0,182,129,8.020256246425678
286278,"ARIPIPRAZOL, CONCENTRAÇÃO:30 MG",COMPRIMIDO,58,125681304.255,1075533.0,31,32,116.85490287606238
338298,"VORICONAZOL, CONCENTRAÇÃO:200 MG, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,13,125491539.457,1011293.0,8,7,124.09018895315205
345001,"MIGLUSTATE, CONCENTRAÇÃO:100 MG",CÁPSULA,13,124610509.48,588402.0,6,2,211.7778482737992
448841,"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:50 MG/ML + 12,5 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL","FRASCO 75,00 ML",491,122778634.7788,71348116.0,255,175,1.7208391988766738
455337,"DUPILUMABE, CONCENTRAÇÃO:150 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, ADICIONAL:SERINGA PREENCHIDA",SERINGA,36,121665136.67,35791.0,20,14,3399.3220829258753
332917,"VASOPRESSINA, CONCENTRAÇÃO:20 UI/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL","AMPOLA 1,00 ML",86,120786308.3965,5022812.0,47,48,24.047547150182012
442723,"OSIMERTINIBE, CONCENTRAÇÃO:80 MG",COMPRIMIDO,26,120444191.337,114494.0,13,8,1051.9694598581584
383750,"LACTULOSE, CONCENTRAÇÃO:667 MG/ML, FORMA FARMACEUTICA:XAROPE","FRASCO 120,00 ML",355,119651480.2647,54192177.0,212,149,2.2079105673259813
267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO,857,117813095.4971,1350594620.0,424,249,0.08723053812927227
272853,"VIGABATRINA, DOSAGEM:500 MG",COMPRIMIDO,49,115635636.6601,11762462.0,24,32,9.830904164459787
407441,"BECLOMETASONA DIPROPIONATO, COMPOSIÇÃO:ASSOCIADA COM FORMOTEROL FUMARATO, CONCENTRAÇÃO:100 MCG + 6 MCG /DOSE, FORMA FARMACEUTICA:AEROSSOL ORAL","FRASCO 120,00 DOSES",49,113498312.77,1164426.0,29,30,97.47146900704725
422156,"RUXOLITINIBE, CONCENTRAÇÃO:5 MG",COMPRIMIDO,23,112885404.46,464165.0,9,11,243.20102648842544
445432,"VALSARTANA, COMPOSIÇÃO:ASSOCIADO AO SACUBITRIL, CONCENTRAÇÃO:103 MG + 97 MG",COMPRIMIDO,131,112565965.382,32334809.0,62,56,3.481262727792825
267088,"GENFIBROZILA, DOSAGEM:600 MG",COMPRIMIDO,32,112238379.881,55923527.0,16,21,2.00699751789618
458280,"OLAPARIBE, CONCENTRAÇÃO:150 MG",COMPRIMIDO,20,111483065.98,478103.0,12,3,233.17792605359097
445430,"VALSARTANA, COMPOSIÇÃO:ASSOCIADO AO SACUBITRIL, CONCENTRAÇÃO:51 MG + 49 MG",COMPRIMIDO,111,110226862.664,31490989.0,56,48,3.5002667799350475
412094,"FINGOLIMODE CLORIDRATO, CONCENTRAÇÃO:0,5 MG",CÁPSULA,45,109433927.8354,1759327.0,21,23,62.20215334352284
272782,"CODEÍNA, DOSAGEM:30 MG",COMPRIMIDO,174,108647527.9932,150379734.0,96,55,0.7224878319920423
268107,"GABAPENTINA, DOSAGEM:300 MG",CÁPSULA,198,108235435.0686,468371450.0,97,93,0.23108888269897748
396086,"SAPROPTERINA DICLORIDRATO, CONCENTRAÇÃO:100 MG, FORMA FARMACÊUTICA:COMPRIMIDO SOLÚVEL",COMPRIMIDO,30,107171902.355,992157.0,11,1,108.01909612591555
267621,"CARBONATO DE LÍTIO, DOSAGEM:300 MG",COMPRIMIDO,869,106364973.1024,404212970.0,404,254,0.2631409207438346
359903,"ALFA-ALGLICOSIDASE, CONCENTRAÇÃO:50 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,9,106021987.055,76087.0,5,4,1393.4310336194094
268540,"VANCOMICINA CLORIDRATO, DOSAGEM:500 MG, APRESENTAÇÃO:INJETÁVEL",FRASCO-AMPOLA,203,105100002.8906,29846985.0,106,108,3.5212937886557047
344564,"SUNITINIBE, COMPOSIÇÃO:MALATO, CONCENTRAÇÃO:50 MG",CÁPSULA,29,105089527.8232,414325.0,10,18,253.64032540445302
403033,"PANITUMOMABE, CONCENTRAÇÃO:20 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL","FRASCO 5,00 ML",13,105050420.53,129599.0,8,5,810.580486963634
268394,"ANFOTERICINA B, DOSAGEM:50 MG, CARACTERÍSTICAS ADICIONAIS:LIPOSSOMAL, APLICAÇÃO:INJETÁVEL",FRASCO-AMPOLA,17,102693273.43,50683.0,10,11,2026.1877440167316
271107,"CICLOSPORINA, CONCENTRAÇÃO:100 MG",CÁPSULA,33,100759467.54,33261220.0,13,15,3.029337695370164
453771,"PÁ PARA DESFIBRILADOR, TIPO EQUIPAMENTO:EXTERNO AUTOMÁTICO - DEA, MODELO:TIPO ELETRODO, ADESIVA, TAMANHO:ADULTO, APRESENTAÇÃO :PAR, COMPATIBILIDADE:C/ COMPATIBILIDADE ESPECÍFICA, ESTERILIDADE:DESCARTÁVEL",UNIDADE,39,100386509.116,305007.0,25,30,329.1285416924857
