instituicao_id,instituicao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
46374500026231,SECRETARIA DE ESTADO DA SAUDE,5262,38948866782.1181,16438970588.0,1,276,2.369300837520186
76416866000140,SECRETARIA DE ESTADO DA SAUDE,1851,25270931375.9874,777445881.0,1,172,32.50506819006145
95422986000102,MUNICIPIO DE FAZENDA RIO GRANDE,1195,13466421078.4356,51964898.0,1,153,259.1445686747158
07954571000104,SECRETARIA DA SAUDE DO ESTADO DO CEARA,207,5347707049.44,726450658.0,1,85,7.361418137004426
42498717000155,SECRETARIA DE ESTADO DE SAUDE - SES,1074,5078575224.3246,223928381.0,1,156,22.679462074638053
13693153000103,CONSORCIO PUBLICO DA ASSOCIACAO DOS MUNICIPIOS DA REGIAO METROPOLITANA DE PORTO ALEGRE - CP GRANPAL,490,3090880354.8249,762100307.0,1,65,4.055739548238891
12075748000132,CONSORCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA,6220,1751941490.1709,5103296081.0,1,109,0.34329607029729775
18538208000124,CONSORCIO INTERMUNICIPAL DO SUL DO ESTADO DE ALAGOAS - CONISUL,2682,1702674891.511,2839653347.0,1,155,0.5996066010345311
08597121000174,FUNDO ESTADUAL DE SAUDE DO PARANA - FUNSAUDE,1705,1699810925.254,430130656.0,1,155,3.951847889804906
05816630000152,FUNDO ESTADUAL DE SAUDE DO ESTADO DA BAHIA,1253,1507715486.65,408836243.0,1,136,3.687822477739578
46523015000135,MUNICIPIO DE BARUERI,1105,1121400309.396,424667950.0,1,110,2.6406520892287726
27080605000196,SECRETARIA DE ESTADO DA SAUDE,1748,1015112022.6397,2596256255.0,1,141,0.39099068926064084
87958625000149,SECRETARIA DA SAUDE,623,1009418163.18,7962810379.0,1,70,0.12676657048648277
03273207000128,CONSORCIO INTERGESTORES PARANA SAUDE,528,889561834.65,5774670340.0,1,78,0.15404547485389442
07662324000134,CONSORCIO INTERMUNICIPAL DO VALE DO RIO CAI (CIS-CAI),580,836923341.8859,131111045.0,1,37,6.383316843259849
02529964000157,SECRETARIA DE ESTADO DA SAUDE,419,793448667.31,133116741.0,1,43,5.960547571623617
80905706000131,FUNDO MUNICIPAL DE SAUDE,2654,784696588.0563,398724278.0,1,245,1.9680180800435234
08778268000160,SECRETARIA DE ESTADO DA SAUDE - SES,717,716205628.683,5913076.0,1,93,121.12234456025932
46634291000170,MUNICIPIO DE ITAPETININGA,1709,646364940.3904,385084116.0,1,153,1.6785032504181503
10572048000128,SECRETARIA DE SAUDE,520,475090230.5099,211646560.0,1,101,2.24473400611803
03517102000177,FUNDO ESPECIAL DE SAUDE,303,474780817.5068,9168871.0,1,58,51.78181888553127
25053117000164,SECRETARIA DA SAUDE,2474,471266859.61,77217965.0,1,196,6.1030727708247685
18960233000100,CONSORCIO INTERMUNICIPAL DO OESTE PAULISTA,2097,366877767.81,565340321.0,1,83,0.6489502945076511
