fabricante_id,fabricante,ocorrencias,rotulo
49324221001690,FRESENIUS KABI BRASIL LTDA.,306,FRESENIUS KABI BRASIL LT [M1873]
49324221002077,FRESENIUS KABI BRASIL LTDA.,440,FRESENIUS KABI BRASIL LT [M1874]
49345358000145,APIS FLORA INDUSTRIAL E COMERCIAL LTDA,2,APIS FLORA INDUSTRIAL E  [M1875]
49351786000180,BAXTER HOSPITALAR LTDA,64,BAXTER HOSPITALAR LTDA [M1876]
49351786000261,BAXTER HOSPITALAR LTDA,71,BAXTER HOSPITALAR LTDA [M1877]
49351786001071,BAXTER HOSPITALAR LTDA,25,BAXTER HOSPITALAR LTDA [M1878]
49353956000166,OXIGEL MATERIAIS HOSPITALARES INDUSTRIA E COMERCIO LTDA,57,OXIGEL MATERIAIS HOSPITA [M1879]
49383250000147,HISAMITSU FARMACEUTICA DO BRASIL LTDA,1,HISAMITSU FARMACEUTICA D [M1880]
49425259000173,"VIPI INDUSTRIA, COMERCIO, EXPORTACAO E IMPORTACAO DE PRODUTOS ODONTOLOGICOS LTDA.",37,"VIPI INDUSTRIA, COMERCIO [M1881]"
49475833000106,BIOLAB SANUS FARMACEUTICA LTDA,2484,BIOLAB SANUS FARMACEUTIC [M1882]
49475833001412,BIOLAB SANUS FARMACEUTICA LTDA,300,BIOLAB SANUS FARMACEUTIC [M1883]
49475833001501,BIOLAB SANUS FARMACEUTICA LTDA,287,BIOLAB SANUS FARMACEUTIC [M1884]
49475833001765,BIOLAB SANUS FARMACEUTICA LTDA,9,BIOLAB SANUS FARMACEUTIC [M1885]
49520521000169,INTERMED EQUIPAMENTO MEDICO HOSPITALAR LTDA,5,INTERMED EQUIPAMENTO MED [M1886]
49601107000184,FRESENIUS HEMOCARE BRASIL LTDA.,3,FRESENIUS HEMOCARE BRASI [M1887]
49601107000427,FRESENIUS HEMOCARE BRASIL LTDA.,276,FRESENIUS HEMOCARE BRASI [M1888]
49604226000190,"MULTIGEL INDUSTRIA E COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS PARA SAUDE LTDA",111,MULTIGEL INDUSTRIA E COM [M1889]
49710072000111,INDAIA INDUSTRIA DE BENGALAS E MULETAS LTDA,6,INDAIA INDUSTRIA DE BENG [M1890]
49716616000152,RAMUZA INDUSTRIA E COMERCIO DE BALANCAS LTDA,9,RAMUZA INDUSTRIA E COMER [M1891]
49748445000143,SANTRIC INDUSTRIA E COMERCIO LTDA,4,SANTRIC INDUSTRIA E COME [M1892]
49938371000108,DTECH LTDA,1,DTECH LTDA [M1893]
49941768000159,MAICOL DO BRASIL INDUSTRIA E COMERCIO LTDA,6,MAICOL DO BRASIL INDUSTR [M1894]
50208271000105,DORJA INDUSTRIA E COMERCIO DE EQUIPAMENTOS MEDICOS LTDA,14,DORJA INDUSTRIA E COMERC [M1895]
50248780000161,ABBOTT DIAGNOSTICOS RAPIDOS S.A.,42,ABBOTT DIAGNOSTICOS RAPI [M1896]
