fornecedor_id,fornecedor,ocorrencias,rotulo
07079067000102,KYLIMEDI MATERIAL MEDICO LTDA,3,KYLIMEDI MATERIAL MEDICO [F0704]
07086868000103,GRANDESC MATERIAIS HOSPITALARES LTDA,21,GRANDESC MATERIAIS HOSPI [F0705]
07090403000118,TRIMEDCALL COMERCIO DE MATERIAIS MEDICOS E HOSPITALARES LTDA,14,TRIMEDCALL COMERCIO DE M [F0706]
07094705000164,HOSPSHOP PRODUTOS HOSPITALARES LTDA,378,HOSPSHOP PRODUTOS HOSPIT [F0707]
07118264000193,QUALITY MEDICAL COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA,369,QUALITY MEDICAL COMERCIO [F0708]
07118503000105,ATHOS COMERCIAL HOSPITALAR LTDA,38,ATHOS COMERCIAL HOSPITAL [F0709]
07120917000179,CIRURGICA CURITIBA COMERCIO DE PRODUTOS MEDICOS LTDA,1,CIRURGICA CURITIBA COMER [F0710]
07127606000131,ELISMED COMERCIAL DE EQUIPAMENTOS E MATERIAIS MEDICOS LTDA,19,ELISMED COMERCIAL DE EQU [F0711]
07150093000180,NEWDIAG PRODUTOS MEDICOS E DIAGNOSTICOS LTDA.,1,NEWDIAG PRODUTOS MEDICOS [F0712]
07160019000144,VITALE COMERCIO S.A.,9,VITALE COMERCIO S.A. [F0713]
07164711000140,FUFA-SC COMERCIO E REPRESENTACAO LTDA,5,FUFA-SC COMERCIO E REPRE [F0714]
07167191000120,SANOVIE INTERNATIONAL TRADE LTDA,3,SANOVIE INTERNATIONAL TR [F0715]
07173013000101,VIVA PRODUTOS HOSPITALARES EM RECUPERACAO JUDICIAL LTDA,1,VIVA PRODUTOS HOSPITALAR [F0716]
07185228000142,MEDICAL FARMA MEDICO HOSPITALAR LTDA,82,MEDICAL FARMA MEDICO HOS [F0717]
07211082000162,FARMACIA ARACA LTDA,1,FARMACIA ARACA LTDA [F0718]
07211319000105,DROGARIA FERREIRA LTDA,10,DROGARIA FERREIRA LTDA [F0719]
07233087000196,RAMO PRODUTOS FARMACEUTICOS LTDA,7,RAMO PRODUTOS FARMACEUTI [F0720]
07237987000101,NOVAFARMA - UCHOA DROGARIA E PERFUMARIA LTDA,1,NOVAFARMA - UCHOA DROGAR [F0721]
07238104000188,IDEAL FARMA COMERCIO DE MEDICAMENTOS LTDA,6,IDEAL FARMA COMERCIO DE  [F0722]
07253536000168,N N DISTRIBUIDORA DE MEDICAMENTOS LTDA,15,N N DISTRIBUIDORA DE MED [F0723]
07254608000191,ROGERIO ZERBINATTI SOROCABA LTDA,3,ROGERIO ZERBINATTI SOROC [F0724]
07262515000109,L. P. STRANIERI & CIA LTDA,4,L. P. STRANIERI & CIA LT [F0725]
07269677000179,RINALDI & COGO LTDA,52,RINALDI & COGO LTDA [F0726]
07277723000181,PH HOSPITALAR LTDA,2,PH HOSPITALAR LTDA [F0727]
07293786000121,L C I PRODUTOS DIAGNOSTICOS LTDA,5,L C I PRODUTOS DIAGNOSTI [F0728]
07294636000132,MD MATERIAL HOSPITALAR LTDA,45,MD MATERIAL HOSPITALAR L [F0729]
07295038000188,MAX MEDICAL COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,36,MAX MEDICAL COMERCIO DE  [F0730]
07295190000160,DBI COMERCIO E IMPORTACAO LTDA,1,DBI COMERCIO E IMPORTACA [F0731]
07296219000129,E. R. FELIX - PROD. AGROP,2,E. R. FELIX - PROD. AGRO [F0732]
07308989000144,VIGILANTE DA GLICOSE COMERCIO DE PRODUTOS PARA DIABETICOS LTDA,4,VIGILANTE DA GLICOSE COM [F0733]
07309478000147,GETFARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,18,GETFARMA DISTRIBUIDORA D [F0734]
