instituicao_id,instituicao,ocorrencias,rotulo
04632212000142,MUNICIPIO DE PRESIDENTE MEDICI,222,MUNICIPIO DE PRESIDENTE  [I0093]
04695284000139,MUNICIPIO DE ESPIGAO D'OESTE,289,MUNICIPIO DE ESPIGAO D'O [I0094]
04712762000171,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO SUSTENTAVEL DA REGIAO DOS CAMPOS DE CIMA DA SERRA - CONDESUS,1383,CONSORCIO INTERMUNICIPAL [I0095]
04885197000144,MUNICIPIO DE FORTALEZA - SECRETARIA MUNICIPAL DE SAUDE - SMS,3,MUNICIPIO DE FORTALEZA - [I0096]
05131180000164,MUNICIPIO DE OBIDOS,175,MUNICIPIO DE OBIDOS [I0097]
05266565000139,MUNICIPIO DE CAJUEIRO DA PRAIA - SECRETARIA MUNICIPAL DE SAUDE,74,MUNICIPIO DE CAJUEIRO DA [I0098]
05301040000197,FUNSAUDE -FUNDACAO DE SAUDE PUBLICA DO MUNICIPIO DE SAO GABRIEL DO OESTE,997,FUNSAUDE -FUNDACAO DE SA [I0099]
05816630000152,FUNDO ESTADUAL DE SAUDE DO ESTADO DA BAHIA,1245,FUNDO ESTADUAL DE SAUDE  [I0100]
05893631000109,MUNICIPIO DE GUAJARA-MIRIM,46,MUNICIPIO DE GUAJARA-MIR [I0101]
05943030000155,MUNICIPIO DE BOA VISTA,240,MUNICIPIO DE BOA VISTA [I0102]
06016618000126,FUNDO MUNICIPAL DE SAUDE DE MIRANTE DA SERRA,2492,FUNDO MUNICIPAL DE SAUDE [I0103]
06205888000185,CONSORCIO INTERMUNICIPAL DO VALE DO JACUI,716,CONSORCIO INTERMUNICIPAL [I0104]
06553887000555,MUNICIPIO DE PIRACURUCA,167,MUNICIPIO DE PIRACURUCA [I0105]
06553952000119,MUNICIPIO DE SIMPLICIO MENDES,369,MUNICIPIO DE SIMPLICIO M [I0106]
06554075000109,MUNICIPIO DE FRANCISCO AYRES,97,MUNICIPIO DE FRANCISCO A [I0107]
06554091000193,MUNICIPIO DE ITAUEIRA,14,MUNICIPIO DE ITAUEIRA [I0108]
06554125000220,MUNICIPIO DE MANOEL EMIDIO,72,MUNICIPIO DE MANOEL EMID [I0109]
06554141000132,MUNICIPIO DE NAZARE DO PIAUI,83,MUNICIPIO DE NAZARE DO P [I0110]
06554166000560,MUNICIPIO DE RIO GRANDE DO PIAUI,69,MUNICIPIO DE RIO GRANDE  [I0111]
06554323000103,MUNICIPIO DE ALTO LONGA,192,MUNICIPIO DE ALTO LONGA [I0112]
06554760000127,MUNICIPIO DE AGUA BRANCA,162,MUNICIPIO DE AGUA BRANCA [I0113]
06554919000103,MUNICIPIO DE FRANCINOPOLIS,2,MUNICIPIO DE FRANCINOPOL [I0114]
07146301000177,MUNICIPIO DE CHAVAL,941,MUNICIPIO DE CHAVAL [I0115]
07165026000139,FUNDO MUNICIPAL DE SAUDE,168,FUNDO MUNICIPAL DE SAUDE [I0116]
07242772000189,CONSORCIO INTERMUNICIPAL DE SERVICOS DO VALE DO TAQUARI,1465,CONSORCIO INTERMUNICIPAL [I0117]
07331783000135,FUNDO MUNICIPAL DE SAUDE,842,FUNDO MUNICIPAL DE SAUDE [I0118]
07417536000156,MUNICIPIO DE CURRAL NOVO DO PIAUI - SECRETARIA DE SAUDE,166,MUNICIPIO DE CURRAL NOVO [I0119]
07582909000144,FUNDO MUNICIPAL DE SAUDE,560,FUNDO MUNICIPAL DE SAUDE [I0120]
07598642000183,MUNICIPIO DE SENADOR SA,1292,MUNICIPIO DE SENADOR SA [I0121]
07615929000174,FUNDO MUNICIPAL DE SAUDE,813,FUNDO MUNICIPAL DE SAUDE [I0122]
07662324000134,CONSORCIO INTERMUNICIPAL DO VALE DO RIO CAI (CIS-CAI),580,CONSORCIO INTERMUNICIPAL [I0123]
07735541000107,MUNICIPIO DE UBAJARA,416,MUNICIPIO DE UBAJARA [I0124]
07851282000180,FUNDO MUNICIPAL DE SAUDE,1449,FUNDO MUNICIPAL DE SAUDE [I0125]
07926117000140,CONSORCIO INTERMUNICIPAL - CI - CENTRO SUL,323,CONSORCIO INTERMUNICIPAL [I0126]
07954571000104,SECRETARIA DA SAUDE DO ESTADO DO CEARA,207,SECRETARIA DA SAUDE DO E [I0127]
08036438000131,FUNDO MUNICIPAL DE SAUDE DE SAPE,152,FUNDO MUNICIPAL DE SAUDE [I0128]
08061295000118,CONSORCIO METROPOLITANO DE SAUDE DO PARANA - COMESP,4,CONSORCIO METROPOLITANO  [I0129]
08159071000143,MUNICIPIO DE JAPI,1,MUNICIPIO DE JAPI [I0130]
08194799000106,FUNDO MUNICIPAL DE SAUDE,479,FUNDO MUNICIPAL DE SAUDE [I0131]
08218991000195,FUNDO MUNICIPAL DE SAUDE DE ITABUNA - SMS,1,FUNDO MUNICIPAL DE SAUDE [I0132]
08241754011007,RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA,49,RIO GRANDE DO NORTE SECR [I0133]
08247860000136,FUNDO MUNICIPAL DE SAUDE,1054,FUNDO MUNICIPAL DE SAUDE [I0134]
08518587000137,FUNDO MUNICIPAL DE SAUDE - MUNICIPIO DE PARANAVAI,519,FUNDO MUNICIPAL DE SAUDE [I0135]
08533932000101,FUNDO MUNICIPAL DE SAUDE - MUNICIPIO DE ALTO PARANA,64,FUNDO MUNICIPAL DE SAUDE [I0136]
08541779000164,FUNDO MUNICIPAL DE SAUDE,258,FUNDO MUNICIPAL DE SAUDE [I0137]
08542693000156,FUNDO MUNICIPAL DE SAUDE,165,FUNDO MUNICIPAL DE SAUDE [I0138]
08549559000187,FUNDO MUNICIPAL DE SAUDE,450,FUNDO MUNICIPAL DE SAUDE [I0139]
08561107000110,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE ASTORGA,298,FUNDO MUNICIPAL DE SAUDE [I0140]
08597121000174,FUNDO ESTADUAL DE SAUDE DO PARANA - FUNSAUDE,1704,FUNDO ESTADUAL DE SAUDE  [I0141]
08663203000170,FUNDO MUNICIPAL DE SAUDE DE ILHEUS,8,FUNDO MUNICIPAL DE SAUDE [I0142]
08673415000138,FUNDO MUNICIPAL DE SAUDE,192,FUNDO MUNICIPAL DE SAUDE [I0143]
08694222000163,FUNDO MUNICIPAL DE SAUDE DE SANTA RITA,36,FUNDO MUNICIPAL DE SAUDE [I0144]
08698105000178,FUNDO MUNICIPAL DE SAUDE SANTA CECILIA,156,FUNDO MUNICIPAL DE SAUDE [I0145]
08702862000178,MUNICIPIO DE CABACEIRAS,58,MUNICIPIO DE CABACEIRAS [I0146]
08703778000179,FUNDO MUNICIPAL DE SAUDE DE FLORIDA,1945,FUNDO MUNICIPAL DE SAUDE [I0147]
08730943000181,FUNDO MUNICIPAL DE SAUDE,143,FUNDO MUNICIPAL DE SAUDE [I0148]
08778268000160,SECRETARIA DE ESTADO DA SAUDE - SES,717,SECRETARIA DE ESTADO DA  [I0149]
08790172000118,MUNICIPIO DE SERRARIA,15,MUNICIPIO DE SERRARIA [I0150]
08823037000121,FUNDO MUNICIPAL DE SAUDE,68,FUNDO MUNICIPAL DE SAUDE [I0151]
08851627000168,FUNDO MUNICIPAL DE SAUDE,419,FUNDO MUNICIPAL DE SAUDE [I0152]
08881567000126,MUNICIPIO DE QUIXABA,712,MUNICIPIO DE QUIXABA [I0153]
08881666000108,MUNICIPIO DE SALGADINHO,64,MUNICIPIO DE SALGADINHO [I0154]
08882730000175,MUNICIPIO DE SAO JOSE DE ESPINHARAS,409,MUNICIPIO DE SAO JOSE DE [I0155]
08885072000175,FUNDO MUNICIPAL DE SAUDE DE TOLEDO,186,FUNDO MUNICIPAL DE SAUDE [I0156]
08888105000130,FUNDO MUNICIPAL DE SAUDE,249,FUNDO MUNICIPAL DE SAUDE [I0157]
08888967000163,FUNDO MUNICIPAL DE SAUDE DE CRUZEIRO DO OESTE,250,FUNDO MUNICIPAL DE SAUDE [I0158]
08889455000111,FUNDO MUNICIPAL DE SAUDE DE DOIS VIZINHOS,1102,FUNDO MUNICIPAL DE SAUDE [I0159]
08891830000168,MUNICIPIO DE SERRA GRANDE,6,MUNICIPIO DE SERRA GRAND [I0160]
08916107000196,FUNDO MUNICIPAL DE SAUDE DE SANTA IZABEL DO OESTE,184,FUNDO MUNICIPAL DE SAUDE [I0161]
08927244000126,FUNDO MUNICIPAL DE SAUDE,382,FUNDO MUNICIPAL DE SAUDE [I0162]
08929648000159,MUNICIPIO DE CACIMBA DE DENTRO,28,MUNICIPIO DE CACIMBA DE  [I0163]
08931506000126,FUNDO MUNICIPAL DE SAUDE DE UMUARAMA,794,FUNDO MUNICIPAL DE SAUDE [I0164]
08935681000191,FUNDO MUNICIPAL DE SAUDE DE FLORIANOPOLIS,464,FUNDO MUNICIPAL DE SAUDE [I0165]
08937598000151,FUNDO MUNICIPAL DE SAUDE,542,FUNDO MUNICIPAL DE SAUDE [I0166]
08944084000123,MUNICIPIO DE EMAS,469,MUNICIPIO DE EMAS [I0167]
08966882000156,FUNDO MUNICIPAL DE SAUDE,424,FUNDO MUNICIPAL DE SAUDE [I0168]
08968508000190,FUNDO MUNICIPAL DE SAUDE DE PIMENTA BUENO,1810,FUNDO MUNICIPAL DE SAUDE [I0169]
08976611000181,FUNDO MUNICIPAL DE SAUDE DE BOM JESUS DO SUL,234,FUNDO MUNICIPAL DE SAUDE [I0170]
08987945000150,FUNDO MUNICIPAL DE SAUDE DE NOVA UNIAO,535,FUNDO MUNICIPAL DE SAUDE [I0171]
08992896000144,FUNDO MUNICIPAL DE SAUDE DE BARRACAO,343,FUNDO MUNICIPAL DE SAUDE [I0172]
09036819000183,FUNDO MUNICIPAL DE SAUDE DE CLEVELANDIA,62,FUNDO MUNICIPAL DE SAUDE [I0173]
09051532000122,FUNDO MUNICIPAL DE SAUDE DE CASCAVEL,1714,FUNDO MUNICIPAL DE SAUDE [I0174]
09055340000275,"ASSOCIACAO DE SAUDE, ESPORTE, LAZER E CULTURA - ASELC",43,"ASSOCIACAO DE SAUDE, ESP [I0175]"
09071622000185,MUNICIPIO DE LAGOA DE DENTRO,88,MUNICIPIO DE LAGOA DE DE [I0176]
09090689000167,MUNICIPIO DE SANTA LUZIA,1483,MUNICIPIO DE SANTA LUZIA [I0177]
09102679000102,FUNDO MUNICIPAL DE SAUDE,298,FUNDO MUNICIPAL DE SAUDE [I0178]
09141808000163,FUNDO MUNICIPAL DE SAUDE DE CAFEARA,594,FUNDO MUNICIPAL DE SAUDE [I0179]
09148131000195,MUNICIPIO DE MANAIRA,58,MUNICIPIO DE MANAIRA [I0180]
09151473000164,MUNICIPIO DE CONDADO,663,MUNICIPIO DE CONDADO [I0181]
09154486000197,FUNDO MUNICIPAL DE SAUDE DE CANHOTINHO,497,FUNDO MUNICIPAL DE SAUDE [I0182]
09157931000172,FUNDO MUNICIPAL DE SAUDE,1272,FUNDO MUNICIPAL DE SAUDE [I0183]
09158413000173,FUNDO MUNICIPAL DE SAUDE DE REALEZA,76,FUNDO MUNICIPAL DE SAUDE [I0184]
09182117000108,FUNDO MUNICIPAL DE SAUDE,267,FUNDO MUNICIPAL DE SAUDE [I0185]
09201882000128,FUNDO MUNICIPAL DE SAUDE,761,FUNDO MUNICIPAL DE SAUDE [I0186]
09239144000170,FUNDO MUNICIPAL DE SAUDE,185,FUNDO MUNICIPAL DE SAUDE [I0187]
09241895000120,FUNDO MUNICIPAL DE SAUDE,271,FUNDO MUNICIPAL DE SAUDE [I0188]
09253109000105,FUNDO MUNICIPAL DE SAUDE,1173,FUNDO MUNICIPAL DE SAUDE [I0189]
09256935000108,FUNDO MUNICIPAL DE SAUDE,1101,FUNDO MUNICIPAL DE SAUDE [I0190]
09258961000175,FUNDO MUNICIPAL DE SAUDE DE SAO PEDRO DO IGUACU,19,FUNDO MUNICIPAL DE SAUDE [I0191]
09259137000130,FUNDO MUNICIPAL DE SAUDE DE LUPIONOPOLIS,267,FUNDO MUNICIPAL DE SAUDE [I0192]
09262602000191,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE SARANDI,520,FUNDO MUNICIPAL DE SAUDE [I0193]
09271085000117,FUNDO MUNICIPAL DE SAUDE,58,FUNDO MUNICIPAL DE SAUDE [I0194]
09277712000127,FUNDO MUNICIPAL DE SAUDE,2,FUNDO MUNICIPAL DE SAUDE [I0195]
09280202000109,FUNDO MUNICIPAL DE SAUDE - MAUA DA SERRA,1240,FUNDO MUNICIPAL DE SAUDE [I0196]
09285785000160,FUNDO MUNICIPAL DE SAUDE DE SAO JOAO DO TRIUNFO,479,FUNDO MUNICIPAL DE SAUDE [I0197]
09288947000114,FMS- FUNDO MUNICIPAL DE SAUDE DE CACHOEIRO DE ITAPEMIRIM.,69,FMS- FUNDO MUNICIPAL DE  [I0198]
09298629000134,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE GOIOERE,993,FUNDO MUNICIPAL DE SAUDE [I0199]
09307789000100,FUNDO MUNICIPAL DE SAUDE,586,FUNDO MUNICIPAL DE SAUDE [I0200]
09309271000106,FUNDO MUNICIPAL DE SAUDE,331,FUNDO MUNICIPAL DE SAUDE [I0201]
09348540000135,FUNDO MUNICIPAL DE SAUDE DE BOA VISTA DA APARECIDA,124,FUNDO MUNICIPAL DE SAUDE [I0202]
09350916000146,FUNDO MUNICIPAL DE SAUDE DE SANTA ISABEL DO IVAI,236,FUNDO MUNICIPAL DE SAUDE [I0203]
09354277000197,FUNDO MUNICIPAL DE SAUDE - MUNICPO DE TURVO,31,FUNDO MUNICIPAL DE SAUDE [I0204]
09367941000132,FUNDO MUNICIPAL DE SAUDE,825,FUNDO MUNICIPAL DE SAUDE [I0205]
09380391000191,FUNDO MUNICIPAL DE SAUDE - MUNICIPIO DE ARIRANHA DO IVAI,167,FUNDO MUNICIPAL DE SAUDE [I0206]
09417876000102,FUNDO MUNICIPAL DE SAUDE DE CAFEZAL DO SUL,4,FUNDO MUNICIPAL DE SAUDE [I0207]
